LAT,LONG,Site,5_14_07,5_17_07,5_21_07,5_24_07,5_29_07,6_1_07,6_5_07,6_8_07,6_12_07,6_15_07,6_19_07,6_22_07,6_26_07,6_29_07,7_3_07,7_6_07,FID2
0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
47.314603,-117.382814,Plaza,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,3.000000,1
47.270253,-117.520299,Blackman,0.000000,0.000000,0.000000,1.000000,3.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,2.000000,1.000000,2
47.224666,-117.403166,Henning,1.000000,1.000000,0.000000,0.000000,5.000000,12.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,2.000000,3
47.190423,-117.331072,Heinnmann,0.000000,0.000000,0.000000,4.000000,1.000000,1.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,4
47.166769,-117.334029,File Rd,0.000000,0.000000,0.000000,0.000000,6.000000,2.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,3.000000,3.000000,5
47.116506,-117.254199,Thornton,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,2.000000,6
47.048502,-117.325159,Steptoe,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,4.000000,7
46.928757,-117.087147,Landerste,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,8
46.916930,-117.138888,Barstow,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,9
46.775833,-117.282946,Albion,1.000000,2.000000,0.000000,0.000000,1.000000,2.000000,3.000000,1.000000,0.000000,1.000000,3.000000,0.000000,0.000000,3.000000,11.000000,6.000000,10
46.761705,-117.203935,Conservat,0.000000,3.000000,1.000000,1.000000,0.000000,6.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000,5.000000,3.000000,11
46.746922,-117.428642,Almota,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,0.000000,2.000000,2.000000,4.000000,1.000000,3.000000,17.000000,20.000000,11.000000,12
46.724747,-116.952618,Parker,0.000000,1.000000,0.000000,0.000000,1.000000,8.000000,2.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,3.000000,3.000000,9.000000,13
46.698709,-117.133892,Spillman,0.000000,0.000000,0.000000,0.000000,1.000000,4.000000,2.000000,0.000000,0.000000,0.000000,3.000000,1.000000,3.000000,1.000000,0.000000,2.000000,14
46.665613,-116.965923,Eid,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,1.000000,1.000000,2.000000,15
46.602833,-117.171830,Sodorff,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,4.000000,2.000000,7.000000,16
46.589685,-116.945037,Kluss,3.000000,0.000000,8.000000,1.000000,1.000000,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,17
46.578392,-116.949661,Kambitsch,0.000000,0.000000,1.000000,1.000000,0.000000,2.000000,3.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,3.000000,4.000000,18
46.551782,-116.838786,GrayEagle,0.000000,4.000000,0.000000,0.000000,2.000000,0.000000,5.000000,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000,1.000000,2.000000,1.000000,19
46.542166,-116.808660,Quarry,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,11.000000,3.000000,0.000000,3.000000,1.000000,0.000000,0.000000,2.000000,3.000000,1.000000,20
