Lat,Long,Site,5_19_2009,5_22_2009,5_26_2009,5_29_2009,6_2_2009,6_5_2009,6_9_2009,6_12_2009,6_16_2009,6_19_2009,6_23_2009,6_26_2009,6_30_2009,7_3_2009,7_7_2009,7_10_2009,7_14_2009,FID2
47.314201,-117.382463,Plaza,0.000000,0.000000,1.000000,0.000000,2.000000,2.000000,0.000000,2.000000,0.000000,1.000000,1.000000,no data,no data,no data,1.000000,0.000000,1.000000,0
47.226170,-117.389925,Malden Rd,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,4.000000,3.000000,8,no data,no data,6.000000,5.000000,1.000000,1
47.197906,-117.368907,195 S North,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,4,4,no data,1.000000,1.000000,0.000000,2
47.186942,-117.328754,File Rd,4.000000,3.000000,1.000000,1.000000,6.000000,0.000000,0.000000,1.000000,0.000000,5.000000,4.000000,46,24,no data,22.000000,10.000000,1.000000,3
47.162195,-117.268007,CarterRd,1.000000,0.000000,7.000000,2.000000,87.000000,1.000000,4.000000,12.000000,2.000000,12.000000,8.000000,24,20,no data,26.000000,2.000000,3.000000,4
47.152575,-117.231057,Morgan Rd,0.000000,1.000000,2.000000,1.000000,0.000000,0.000000,2.000000,0.000000,0.000000,1.000000,1.000000,1,2,no data,2.000000,3.000000,0.000000,5
47.123372,-117.194815,Cokely Rd,0.000000,0.000000,0.000000,1.000000,55.000000,4.000000,3.000000,0.000000,4.000000,3.000000,2.000000,1,1,3,2.000000,2.000000,1.000000,6
47.118001,-117.224942,Hume Rd I,0.000000,0.000000,5.000000,1.000000,38.000000,10.000000,1.000000,0.000000,7.000000,6.000000,6.000000,2,3,no data,5.000000,5.000000,2.000000,7
47.116304,-117.252483,Oaksdale Rd,0.000000,0.000000,0.000000,0.000000,7.000000,1.000000,0.000000,1.000000,3.000000,2.000000,0.000000,3,4,0,2.000000,4.000000,0.000000,8
47.098186,-117.161234,Auvil Rd,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.000000,0.000000,1.000000,1.000000,0.000000,2,0,1,0.000000,0.000000,0.000000,9
47.075768,-117.237221,Hume Rd II,1.000000,0.000000,1.000000,0.000000,3.000000,2.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1,0,0,0.000000,1.000000,1.000000,10
47.051017,-117.161687,Hwy 27 RxR,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,1.000000,0.000000,3.000000,12.000000,1.000000,3,5,4,1.000000,0.000000,0.000000,11
47.035545,-117.116892,Walter-Siding,1.000000,0.000000,1.000000,0.000000,3.000000,4.000000,3.000000,2.000000,7.000000,7.000000,0.000000,1,3,no data,1.000000,1.000000,6.000000,12
46.991326,-117.159643,Westacott Rd,0.000000,1.000000,2.000000,1.000000,2.000000,10.000000,16.000000,3.000000,6.000000,2.000000,0.000000,1,5,no data,4.000000,1.000000,1.000000,13
46.919935,-117.138510,Frazen Rd,0.000000,0.000000,0.000000,1.000000,6.000000,3.000000,1.000000,1.000000,2.000000,0.000000,2.000000,1,4,0,2.000000,2.000000,1.000000,14
46.916328,-117.090134,Hwy 272 Palouse,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,2.000000,0.000000,2.000000,6,4,2,1.000000,0.000000,4.000000,15
46.883828,-117.010859,Cove Rd,0.000000,0.000000,0.000000,0.000000,2.000000,9.000000,8.000000,2.000000,6.000000,3.000000,0.000000,3,5,2,2.000000,1.000000,4.000000,16
46.799045,-117.282840,Albion Rd,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,4.000000,9.000000,13.000000,7.000000,5,7,4,3.000000,2.000000,6.000000,17
46.760181,-117.196392,Conservation Farm,0.000000,0.000000,1.000000,1.000000,4.000000,3.000000,0.000000,1.000000,4.000000,5.000000,1.000000,1,5,2,0.000000,0.000000,4.000000,18
46.748612,-117.426392,Almota,21.000000,38.000000,167.000000,96.000000,33.000000,23.000000,8.000000,9.000000,15.000000,29.000000,30.000000,26,10,9,7.000000,3.000000,4.000000,19
46.721961,-116.953626,Parker,0.000000,1.000000,0.000000,7.000000,21.000000,22.000000,9.000000,6.000000,6.000000,2.000000,2.000000,5,4,4,4.000000,5.000000,6.000000,20
46.645441,-116.858756,Campbell Loop,0.000000,1.000000,0.000000,11.000000,28.000000,27.000000,2.000000,1.000000,3.000000,1.000000,0.000000,2,1,2,2.000000,0.000000,2.000000,21
46.632234,-116.949661,Kambistch Farm,0.000000,0.000000,0.000000,1.000000,22.000000,5.000000,1.000000,3.000000,0.000000,5.000000,1.000000,4,3,0,1.000000,4.000000,1.000000,22
46.624399,-117.294990,Boone Hill Rd,20.000000,30.000000,2.000000,0.000000,6.000000,4.000000,2.000000,6.000000,1.000000,4.000000,2.000000,12,10,6,4.000000,4.000000,7.000000,23
46.616628,-117.225427,Union Flat Rd,1.000000,2.000000,1.000000,1.000000,14.000000,10.000000,9.000000,4.000000,5.000000,14.000000,9.000000,4,4,3,2.000000,2.000000,6.000000,24
46.608119,-117.162334,195 S Meyer Rd,1.000000,1.000000,0.000000,2.000000,36.000000,29.000000,2.000000,2.000000,2.000000,4.000000,1.000000,2,0,4,8.000000,10.000000,8.000000,25
46.563635,-116.809103,Green Loop,1.000000,2.000000,0.000000,1.000000,2.000000,4.000000,2.000000,9.000000,14.000000,8.000000,1.000000,5,7,3,5.000000,2.000000,2.000000,26
46.542837,-116.801271,Gray Eagle,3.000000,0.000000,0.000000,1.000000,4.000000,30.000000,14.000000,11.000000,23.000000,11.000000,3.000000,8,9,9,18.000000,7.000000,3.000000,27
46.523084,-116.832138,Dump Rd,9.000000,7.000000,2.000000,3.000000,13.000000,80.000000,4.000000,3.000000,5.000000,3.000000,3.000000,0,2,1,8.000000,1.000000,7.000000,28
46.489789,-116.992998,South Evans Rd,12.000000,17.000000,33.000000,7.000000,31.000000,50.000000,6.000000,8.000000,9.000000,9.000000,4.000000,2,4,7,9.000000,8.000000,4.000000,29
